n_estimators,min_samples_split,max_features,accuracy,f1,roc_auc,pr_auc,matthews
200,8282,6,0.9420486275534364,0.875948128211402,0.9857865214410902,0.9633215318009289,0.8401562918685085
300,8282,6,0.9417383778840972,0.8755146186588515,0.9860079052101292,0.9636651909839486,0.8393503916909
50,6626,6,0.9446122695579758,0.8817541657951614,0.9867852105081455,0.9654392012933521,0.8474022264552276
100,6626,6,0.9454123871262716,0.8830178115267523,0.9869078639192775,0.9658679287391054,0.8495386397325864
150,6626,6,0.9456409921457847,0.8832380484725194,0.9870202436221557,0.966202003760233,0.850131734398039
200,6626,6,0.9453470714064107,0.8825737641651756,0.9872859712115858,0.9667192342591748,0.8493021921397607
300,6626,6,0.9451021374569325,0.8820268088988701,0.9873802976264714,0.9669311417204853,0.8486118339706324
50,5301,6,0.9466860436635587,0.8849582467143512,0.9881875281490756,0.9687686846664412,0.85300448367813
100,5301,6,0.9477964109011936,0.887155412798701,0.9884396164679135,0.9693364244671443,0.8561198470319754
150,5301,6,0.947747424111298,0.8870216071176388,0.9884140275440845,0.9693404470166809,0.8559808649538398
200,5301,6,0.9479270423409154,0.8875489262667936,0.9884361019486789,0.9693227197110927,0.8564922991296541
300,5301,6,0.947747424111298,0.8871888881054784,0.9885238800169154,0.9695706473913792,0.8559879546231037
50,2,7,0.9922437582665208,0.9841407632466361,0.9993258621044443,0.9979339373014995,0.9790228917957655
100,2,7,0.9924560343560687,0.9845814977973568,0.9994544759502241,0.9982481481337231,0.9796003962959728
150,2,7,0.9925213500759296,0.9847139710299713,0.999507149123633,0.9984354225467161,0.9797766571968698
200,2,7,0.9927499550954426,0.9851841964762413,0.9995154748786582,0.9984642196875757,0.9803965847666689
300,2,7,0.9927172972355122,0.9851184517851185,0.9995535279686749,0.9985334910040344,0.9803086956476974
50,3,7,0.9922764161264512,0.9842201834862385,0.9994367176976299,0.9981583211824393,0.9791172702441592
100,3,7,0.9924397054261034,0.9845517333422308,0.9995095806470754,0.9984070521805031,0.97955795019279
150,3,7,0.9924723632860338,0.9846164113858578,0.9995207351439336,0.9984390050809786,0.9796453054042501
200,3,7,0.9924886922159991,0.9846482445601389,0.9995284535577972,0.9985100909772774,0.9796887611803567
300,3,7,0.9926683104456165,0.9850188515565046,0.9995267891263905,0.9984867845416666,0.980176406117041
50,4,7,0.9922600871964861,0.984183128670582,0.9994746024015898,0.998227457478384,0.9790712318509497
100,4,7,0.9926356525856861,0.984954128440367,0.9994987240640101,0.9983837045921674,0.980089041378395
150,4,7,0.9925866657957904,0.984855560744546,0.9995479805835851,0.9985686795651169,0.9799572957813064
200,4,7,0.9923907186362078,0.9844500800854245,0.9995499839459007,0.9985869262954586,0.9794246592951414
300,4,7,0.9924723632860338,0.9846174380192866,0.9995472811338113,0.9985717718349124,0.9796457994015817
50,5,7,0.9918355350173903,0.9833166499833167,0.9993866422749245,0.9979799397021962,0.9779231686716126
100,5,7,0.9920641400369034,0.9837816191683908,0.9994519436829868,0.9982307556148928,0.9785405503689683
150,5,7,0.9922437582665208,0.9841524038301138,0.9994801116479574,0.9983637328465564,0.9790283824499897
200,5,7,0.9923090739863817,0.984278513969091,0.9994988140138268,0.9984843090763689,0.9792015312609064
300,5,7,0.9925050211459643,0.9846831514666132,0.999513864417142,0.9985937386178899,0.9797336642707354
50,7,7,0.9919661664571121,0.9835792003204058,0.999436709782046,0.9982374283879352,0.9782743859370112
100,7,7,0.9919988243170424,0.9836372136512389,0.9994681936570561,0.9983545028143269,0.9783587651258593
150,7,7,0.9919824953870773,0.9836120289709956,0.9994735525073303,0.9983653558280188,0.9783183057042607
200,7,7,0.9919008507372512,0.9834423821605021,0.999488192019883,0.9983954305151731,0.9780960585645742
300,7,7,0.9920478111069382,0.9837368508933044,0.9995050730818656,0.9985603342360014,0.9784911365912006
50,8,7,0.9912640224686077,0.982152983954365,0.9994556157943002,0.9982430707625242,0.976379315284106
