ccp_alpha,depth,nodes,accuracy,f1,roc_auc,pr_auc,matthews
1.8368964532284832e-06,42,9365,0.9877369735961202,0.975020788292034,0.9768138552503199,0.9511011404902121,0.9668947385247738
1.835976233387063e-06,42,9373,0.9877369735961202,0.975020788292034,0.9768149950943961,0.9511014243888749,0.9668947385247738
1.8598576588938399e-06,40,9301,0.9877369735961202,0.9750257723387982,0.977051935864117,0.9515306457118219,0.9668990807838074
1.8740395800400877e-06,40,9297,0.9877369735961202,0.9750257723387982,0.9770658672917134,0.9516150743979893,0.9668990807838074
1.878644099892767e-06,40,9249,0.9878022893159811,0.9751587908616275,0.977341275640206,0.9520237755492418,0.9670753842022461
1.8942994673918735e-06,40,9233,0.9877696314560507,0.9750939380839956,0.9773381820861132,0.9520125232426915,0.9669886907291385
1.9033631012071463e-06,40,9221,0.9877696314560507,0.9750939380839956,0.97738799197696,0.9520608575617242,0.9669886907291385
1.9075463168141933e-06,40,9177,0.987785960386016,0.9751263633945199,0.977577341378111,0.952450774936889,0.967032035553484
1.9142394617854724e-06,40,9173,0.987785960386016,0.9751263633945199,0.977577341378111,0.952450774936889,0.967032035553484
1.918900759176184e-06,40,9145,0.9877696314560507,0.9750922816002129,0.9775887606872291,0.9525222733936527,0.9669872324930268
1.928741275889907e-06,38,9141,0.9877696314560507,0.9750922816002129,0.977638300728626,0.9525705120481559,0.9669872324930268
1.928741275889908e-06,38,9097,0.9877696314560507,0.9750939380839956,0.9776995838984808,0.9527007462300101,0.9669886907291385
1.937351728014416e-06,38,9049,0.9878186182459463,0.9751945201835472,0.9779742553780758,0.9531071732088621,0.9671216412795636
1.9331853802122337e-06,38,9089,0.9877696314560507,0.9750939380839956,0.9777496571623905,0.9527490662855136,0.9669886907291385
1.9449491857713355e-06,38,9017,0.9878349471759116,0.9752269477604496,0.977985543720261,0.9531913085572739,0.9671649862354254
1.951702481555264e-06,38,8973,0.9878349471759116,0.9752269477604496,0.9781083978993836,0.953443578880607,0.9671649862354254
1.953953580149902e-06,38,8969,0.9878349471759116,0.9752269477604496,0.9781083907033983,0.9534435618700813,0.9671649862354254
1.9540755752923933e-06,38,8939,0.9878512761058768,0.9752610228104011,0.9781519674317534,0.9534587253556045,0.967209787055059
1.954805347185717e-06,38,8931,0.987867605035842,0.9752950955943475,0.9782013844218012,0.9535011564625862,0.9672545877435802
1.9577449040987795e-06,38,8895,0.9879165918257377,0.9753940280641086,0.9784397859765438,0.9539342532962498,0.9673860786060497
1.9558026968526492e-06,38,8919,0.9879002628957725,0.9753599574369035,0.9782786966489756,0.9537192480859604,0.9673412817417121
1.963183084387941e-06,38,8879,0.9879329207557028,0.9754264622751305,0.9784661765331383,0.9541038578323275,0.9674294294948554
1.968103342744804e-06,38,8835,0.9879492496856681,0.9754605306909623,0.9787533546352345,0.9545842516256684,0.9674742243815452
1.9725763048874063e-06,38,8819,0.9879492496856681,0.9754605306909623,0.978779132093879,0.9547516155822107,0.9674742243815452
