n_estimators,min_samples_split,max_features,criterion,accuracy,f1,roc_auc,pr_auc,matthews
150,2,1,gini,0.9996817313812858,0.9997830959438941,0.9999995822822286,0.9999998421091196,0.9991856057085271
200,2,1,gini,0.9996913758848832,0.9997896701765456,0.9999995815681811,0.999999843834274,0.9992102749203443
300,2,1,gini,0.9997010203884806,0.9997962416442642,0.9999995834723078,0.9999998454002805,0.999234962956769
50,9,1,gini,0.9995467083309222,0.9996910760413038,0.999998338173516,0.9999993978309966,0.9988401049708344
100,9,1,gini,0.999614219856104,0.9997370842644933,0.9999987613656514,0.999999550821211,0.999012867637074
150,9,1,gini,0.999565997338117,0.9997042100765767,0.9999987547012082,0.9999995481401691,0.9988895536603852
200,9,1,gini,0.9995274193237275,0.9996779134047182,0.9999988599042025,0.9999995863776331,0.9987908836117231
300,9,1,gini,0.9995852863453119,0.9997173637265921,0.9999988998908609,0.9999996009180687,0.9989388463777206
50,6,1,gini,0.999565997338117,0.9997042178534103,0.9999987646978729,0.9999995518570628,0.9988894902678225
100,6,1,gini,0.9995756418417144,0.9997107774827124,0.9999989989054439,0.9999996368076339,0.998914283650197
150,6,1,gini,0.9996335088632988,0.9997502267678029,0.9999992150238121,0.9999997152504007,0.9990622495969108
200,6,1,gini,0.999662442374091,0.9997699472193192,0.9999992807161795,0.9999997390623434,0.9991362708173128
300,6,1,gini,0.9996527978704937,0.9997633727273922,0.9999993373639456,0.9999997595743021,0.9991116051377017
50,3,1,gini,0.9996431533668962,0.9997567981490367,0.9999993716382244,0.9999997696464891,0.9990869406352789
100,3,1,gini,0.999662442374091,0.9997699441950347,0.9999993849671106,0.9999997763708693,0.999136295607006
150,3,1,gini,0.9996913758848832,0.9997896646465709,0.999999536107159,0.9999998316012946,0.9992103162192836
200,3,1,gini,0.9997203093956754,0.9998093823330287,0.9999995894227035,0.9999998509384804,0.999284360522187
300,3,1,gini,0.9997203093956754,0.9998093823330287,0.9999996082259535,0.9999998578707873,0.999284360522187
50,10,1,gini,0.9995563528345196,0.9996976667762076,0.999998866092614,0.999999588740254,0.9988646849158296
100,10,1,gini,0.9995949308489092,0.9997239421067161,0.9999990060459184,0.9999996394451299,0.9989634858329518
150,10,1,gini,0.9995274193237275,0.9996779303409338,0.9999989589187853,0.9999996223380441,0.9987907477225926
200,10,1,gini,0.9995467083309222,0.9996910760413038,0.9999990184227414,0.9999996438862047,0.9988401049708344
300,10,1,gini,0.9995756418417144,0.9997108002944579,0.9999990293714693,0.9999996478408041,0.9989141041843627
50,2,2,gini,0.9998263989352468,0.9998816816974733,0.9999998124435306,0.9999999219347893,0.9995558613019109
100,2,2,gini,0.999855332446039,0.9999014020626689,0.9999998757557398,0.9999999523221339,0.9996298794420742
150,2,2,gini,0.999855332446039,0.9999014033588589,0.9999998762317714,0.9999999533516608,0.9996298611663154
200,2,2,gini,0.9998456879424416,0.9998948309407373,0.9999998598086796,0.9999999474816259,0.9996051757397065
300,2,2,gini,0.9998263989352468,0.9998816832529218,0.9999998679012176,0.9999999511075301,0.9995558401028095
50,4,2,gini,0.9997878209208572,0.9998553944445174,0.9999998305327331,0.9999999383221435,0.9994570939232383
100,4,2,gini,0.9997974654244546,0.9998619683315915,0.999999851002094,0.9999999459255965,0.9994817635865991
150,4,2,gini,0.9998263989352468,0.999881687919022,0.9999998295806699,0.9999999381578254,0.9995557911066058
200,4,2,gini,0.9998167544316494,0.9998751125630189,0.9999998198220212,0.9999999345329517,0.9995311353808222
300,4,2,gini,0.999855332446039,0.9999014046550149,0.9999998205360687,0.9999999348744216,0.9996298453242762
50,3,2,gini,0.9997492429064676,0.9998290935384211,0.9999997108107737,0.9999998941098914,0.9993584809760154
100,3,2,gini,0.999807109928052,0.9998685334910932,0.9999998219641634,0.9999999352291706,0.9995065339444801
150,3,2,gini,0.9998360434388442,0.9998882556710247,0.9999998352930496,0.9999999402320601,0.9995805267461711
200,3,2,gini,0.9998263989352468,0.9998816801419839,0.999999853858284,0.9999999469629668,0.9995558849339682
300,3,2,gini,0.9998456879424416,0.9998948295581527,0.999999847193841,0.999999944547469,0.9996051933676038
50,5,2,gini,0.999807109928052,0.9998685404041068,0.9999997529395745,0.9999999103376724,0.9995064494640293
100,5,2,gini,0.9997492429064676,0.9998290935384211,0.9999997653163976,0.9999999148263097,0.9993584809760154
150,5,2,gini,0.9997781764172599,0.9998488184835836,0.999999799590676,0.9999999272620692,0.9994324458314007
200,5,2,gini,0.9997878209208572,0.99985539064246,0.9999997957824229,0.9999999258881127,0.999457133573221
300,5,2,gini,0.9997685319136624,0.9998422422632977,0.9999998014948028,0.9999999279610192,0.9994078049207461
50,6,2,gini,0.9997685319136624,0.9998422422632977,0.9999997186652959,0.9999998979139245,0.9994078049207461
100,6,2,gini,0.999807109928052,0.9998685369476908,0.9999998100633725,0.9999999310692133,0.9995064868380152
150,6,2,gini,0.9998263989352468,0.9998816832529218,0.9999998357690812,0.9999999403946074,0.9995558401028095
200,6,2,gini,0.9997781764172599,0.9998488184835836,0.9999998257724168,0.9999999367677497,0.9994324458314007
300,6,2,gini,0.9997974654244546,0.9998619647024025,0.9999998067311509,0.9999999298567743,0.9994817996651294
50,8,2,gini,0.999758887410065,0.9998356679440745,0.9999994473272564,0.9999997996655622,0.9993831423599662
100,8,2,gini,0.9997878209208572,0.9998553887413562,0.9999996148903966,0.9999998604102939,0.999457157047801
150,8,2,gini,0.9997878209208572,0.9998553887413562,0.9999996653497515,0.999999878614674,0.999457157047801
200,8,2,gini,0.9997974654244546,0.9998619628877364,0.9999997177132327,0.9999998975867155,0.9994818213543651
300,8,2,gini,0.9997781764172599,0.9998488184835836,0.9999997148570426,0.99999989653558,0.9994324458314007
50,7,2,gini,0.9997492429064676,0.9998290935384211,0.9999996329795993,0.9999998668418547,0.9993584809760154
100,7,2,gini,0.9997974654244546,0.9998619628877364,0.999999760556081,0.9999999131068171,0.9994818213543651
150,7,2,gini,0.9998167544316494,0.9998751125630189,0.999999834817018,0.9999999400450805,0.9995311353808222
200,7,2,gini,0.9998263989352468,0.9998816848083294,0.999999831008765,0.9999999386627745,0.9995558213370003
300,7,2,gini,0.999807109928052,0.9998685386759215,0.9999997991146445,0.9999999270944423,0.999506466934294
50,10,2,gini,0.9997010203884806,0.9997962336083084,0.999999450183446,0.9999998005240349,0.999235030496486
100,10,2,gini,0.999710664892078,0.999802802829122,0.9999995815681811,0.9999998481642906,0.9992597485395813
150,10,2,gini,0.9997299538992728,0.9998159493071807,0.9999996677299097,0.999999879418538,0.9993091006666363
200,10,2,gini,0.9997492429064676,0.9998290980319982,0.9999996791546691,0.9999998835694237,0.9993584270436324
300,10,2,gini,0.9997395984028702,0.9998225237128039,0.9999996886753021,0.9999998870322998,0.9993337632666561
50,9,2,gini,0.9997299538992728,0.9998159468875304,0.9999995363451746,0.999999831828997,0.9993091299865273
100,9,2,gini,0.9997203093956754,0.9998093723090272,0.9999995910888144,0.9999998516231743,0.9992844703480177
