Epoch 1
Batch 5300: 0.3493470549583435
Batch 5400: 0.4057323932647705
Batch 5500: 0.14365576207637787
Batch 5600: 0.2903687357902527
Batch 5700: 0.4517570734024048
Batch 5800: 0.26626652479171753
Batch 5900: 0.35036176443099976
Batch 6000: 0.1680058240890503
Batch 6100: 0.21437618136405945
Batch 6200: 0.3277833163738251
Batch 6300: 0.3676213026046753
Batch 6400: 0.37332820892333984
Batch 6500: 0.34684044122695923
Batch 6600: 0.3416121304035187
Batch 6700: 0.38289105892181396
Batch 6800: 0.21810616552829742
Batch 6900: 0.2572455406188965
Batch 7000: 0.3139708936214447
Batch 7100: 0.21389128267765045
Batch 7200: 0.4434845447540283
Batch 7300: 0.2577011287212372
Batch 7400: 0.3300899267196655
Batch 7500: 0.30835479497909546
Batch 7600: 0.21254783868789673
Batch 7700: 0.15047255158424377
Batch 7800: 0.24110254645347595
Batch 7900: 0.3614306151866913
Batch 8000: 0.18333937227725983
Batch 8100: 0.40876567363739014
Batch 8200: 0.21766911447048187
Accuracy: 87.289, loss: 0.263
Epoch 5
Batch 0: 0.26801255345344543
Batch 100: 0.16036491096019745
Batch 200: 0.32242926955223083
Batch 300: 0.2815801203250885
Batch 400: 0.2881220579147339
Batch 500: 0.20983968675136566
Batch 600: 0.2313949167728424
Batch 700: 0.21909748017787933
Batch 800: 0.3400689363479614
Batch 900: 0.33369675278663635
Batch 1000: 0.3112272322177887
Batch 1100: 0.3078719675540924
Batch 1200: 0.28373709321022034
Batch 1300: 0.1256045401096344
Batch 1400: 0.15311957895755768
Batch 1500: 0.27369871735572815
Batch 1600: 0.3142653703689575
Batch 1700: 0.2906733453273773
Batch 1800: 0.130338653922081
Batch 1900: 0.22043520212173462
Batch 2000: 0.2626613676548004
Batch 2100: 0.15641599893569946
Batch 2200: 0.31454694271087646
Batch 2300: 0.18049919605255127
Batch 2400: 0.3384961783885956
Batch 2500: 0.2525430917739868
Batch 2600: 0.25558269023895264
Batch 2700: 0.24072426557540894
Batch 2800: 0.28216752409935
Batch 2900: 0.326960027217865
Batch 3000: 0.14997820556163788
Batch 3100: 0.25981706380844116
Batch 3200: 0.46552133560180664
Batch 3300: 0.16062955558300018
Batch 3400: 0.268453449010849
Batch 3500: 0.29502925276756287
Batch 3600: 0.3337111473083496
Batch 3700: 0.26289740204811096
Batch 3800: 0.1556747853755951
Batch 3900: 0.2662661671638489
Batch 4000: 0.14175371825695038
Batch 4100: 0.24952706694602966
Batch 4200: 0.22627916932106018
Batch 4300: 0.2788184881210327
Batch 4400: 0.23586682975292206
Batch 4500: 0.3678272068500519
Batch 4600: 0.1980607956647873
Batch 4700: 0.19530190527439117
Batch 4800: 0.22038552165031433
Batch 4900: 0.23306536674499512
Batch 5000: 0.3456396758556366
Batch 5100: 0.1883428394794464
Batch 5200: 0.14319267868995667
Batch 5300: 0.3053685426712036
Batch 5400: 0.33124351501464844
Batch 5500: 0.27971693873405457
Batch 5600: 0.25409549474716187
Batch 5700: 0.3741114139556885
Batch 5800: 0.387784481048584
Batch 5900: 0.3101385235786438
Batch 6000: 0.20972277224063873
Batch 6100: 0.31577545404434204
Batch 6200: 0.14812502264976501
Batch 6300: 0.23827707767486572
Batch 6400: 0.08019443601369858
Batch 6500: 0.31654608249664307
Batch 6600: 0.34832221269607544
Batch 6700: 0.27224835753440857
Batch 6800: 0.28679555654525757
Batch 6900: 0.23876158893108368
Batch 7000: 0.22146978974342346
Batch 7100: 0.34197112917900085
Batch 7200: 0.19680391252040863
Batch 7300: 0.16729693114757538
Batch 7400: 0.25634756684303284
Batch 7500: 0.24106959998607635
Batch 7600: 0.21916820108890533
Batch 7700: 0.18488454818725586
Batch 7800: 0.3291907012462616
Batch 7900: 0.2677885591983795
Batch 8000: 0.24724112451076508
Batch 8100: 0.23423847556114197
Batch 8200: 0.16565059125423431
Accuracy: 86.97, loss: 0.264
Epoch 6
Batch 0: 0.2373722344636917
Batch 100: 0.4936099350452423
Batch 200: 0.3828710615634918
Batch 300: 0.34426331520080566
Batch 400: 0.25625911355018616
Batch 500: 0.377485990524292
Batch 600: 0.2332090437412262
Batch 700: 0.25197046995162964
Batch 800: 0.23812058568000793
Batch 900: 0.294818252325058
Batch 1000: 0.2191440612077713
Batch 1100: 0.29513993859291077
Batch 1200: 0.277460515499115
Batch 1300: 0.4108780324459076
Batch 1400: 0.16167882084846497
Batch 1500: 0.15921416878700256
Batch 1600: 0.16311809420585632
Batch 1700: 0.29669085144996643
Batch 1800: 0.35966187715530396
Batch 1900: 0.25021636486053467
Batch 2000: 0.20970699191093445
Batch 2100: 0.15900228917598724
Batch 2200: 0.26645970344543457
Batch 2300: 0.3520858883857727
Batch 2400: 0.1740168035030365
Batch 2500: 0.30062103271484375
Batch 2600: 0.4715917706489563
Batch 2700: 0.21121801435947418
Batch 2800: 0.2971228063106537
Batch 2900: 0.2111547440290451
Batch 3000: 0.17734338343143463
Batch 3100: 0.3013629615306854
Batch 3200: 0.23774601519107819
Batch 3300: 0.07974392920732498
Batch 3400: 0.230221226811409
Batch 3500: 0.2254403531551361
Batch 3600: 0.2673943340778351
Batch 3700: 0.28026410937309265
Batch 3800: 0.2778151035308838
Batch 3900: 0.2178398221731186
Batch 4000: 0.24970713257789612
Batch 4100: 0.17053446173667908
Batch 4200: 0.4196914732456207
Batch 4300: 0.3240205645561218
Batch 4400: 0.18569408357143402
Batch 4500: 0.17149190604686737
Batch 4600: 0.16118788719177246
Batch 4700: 0.2927153408527374
Batch 4800: 0.1728634089231491
Batch 4900: 0.35865479707717896
Batch 5000: 0.25453680753707886
Batch 5100: 0.4403890073299408
Batch 5200: 0.1890975534915924
Batch 5300: 0.3254678249359131
Batch 5400: 0.22480478882789612
Batch 5500: 0.2780836522579193
Batch 5600: 0.23084847629070282
Batch 5700: 0.32805532217025757
Batch 5800: 0.2158142328262329
Batch 5900: 0.20134684443473816
Batch 6000: 0.2646012604236603
Batch 6100: 0.3055321276187897
Batch 6200: 0.18801875412464142
Batch 6300: 0.39607423543930054
Batch 6400: 0.27993911504745483
Batch 6500: 0.24573874473571777
Batch 6600: 0.24737852811813354
Batch 6700: 0.40876850485801697
Batch 6800: 0.4090123772621155
Batch 6900: 0.3568681478500366
Batch 7000: 0.17867368459701538
Batch 7100: 0.30686846375465393
Batch 7200: 0.32615357637405396
Batch 7300: 0.36584556102752686
Batch 7400: 0.26507121324539185
Batch 7500: 0.22348494827747345
Batch 7600: 0.3584666848182678
Batch 7700: 0.1879182904958725
Batch 7800: 0.17335444688796997
Batch 7900: 0.2672698199748993
Batch 8000: 0.21767964959144592
Batch 8100: 0.1531417965888977
Batch 8200: 0.31175678968429565
Accuracy: 85.693, loss: 0.263
Epoch 7
Batch 0: 0.19441765546798706
Batch 100: 0.24213361740112305
Batch 200: 0.24460366368293762
Batch 300: 0.13899414241313934
Batch 400: 0.24068863689899445
Batch 500: 0.2536703944206238
Batch 600: 0.275251567363739
Batch 700: 0.23170027136802673
Batch 800: 0.24541562795639038
Batch 900: 0.26224377751350403
Batch 1000: 0.25125938653945923
Batch 1100: 0.2747878432273865
Batch 1200: 0.3358103334903717
Batch 1300: 0.28678029775619507
Batch 1400: 0.26324477791786194
Batch 1500: 0.22380071878433228
Batch 1600: 0.3534708619117737
Batch 1700: 0.2163418084383011
Batch 1800: 0.2607274651527405
Batch 1900: 0.4475034475326538
Batch 2000: 0.36791643500328064
Batch 2100: 0.2966628968715668
Batch 2200: 0.3882995545864105
Batch 2300: 0.2963404655456543
Batch 2400: 0.2932571470737457
Batch 2500: 0.30038487911224365
Batch 2600: 0.2086222916841507
Batch 2700: 0.319034218788147
Batch 2800: 0.16658344864845276
Batch 2900: 0.38799959421157837
Batch 3000: 0.4492591619491577
Batch 3100: 0.15353421866893768
Batch 3200: 0.4020940363407135
Batch 3300: 0.3124852478504181
Batch 3400: 0.2751624882221222
Batch 3500: 0.3868699371814728
Batch 3600: 0.23458637297153473
Batch 3700: 0.4008435308933258
Batch 3800: 0.16215050220489502
Batch 3900: 0.24151571094989777
Batch 4000: 0.2715799808502197
Batch 4100: 0.272853821516037
Batch 4200: 0.31720173358917236
Batch 4300: 0.2903020679950714
Batch 4400: 0.2214404046535492
Batch 4500: 0.24604131281375885
Batch 4600: 0.24134649336338043
Batch 4700: 0.4173591732978821
Batch 4800: 0.30243995785713196
Batch 4900: 0.2674420177936554
Batch 5000: 0.2235998809337616
Batch 5100: 0.32295286655426025
Batch 5200: 0.3832777738571167
Batch 5300: 0.2606619894504547
Batch 5400: 0.29067227244377136
Batch 5500: 0.5072082877159119
Batch 5600: 0.27418363094329834
Batch 5700: 0.2021721750497818
Batch 5800: 0.2707478404045105
Batch 5900: 0.2709295153617859
Batch 6000: 0.4239470064640045
Batch 6100: 0.2375679463148117
Batch 6200: 0.20379729568958282
Batch 6300: 0.2103506624698639
Batch 6400: 0.36127158999443054
Batch 6500: 0.30013495683670044
Batch 6600: 0.2575652003288269
Batch 6700: 0.29816049337387085
Batch 6800: 0.310141921043396
Batch 6900: 0.23439699411392212
Batch 7000: 0.17274725437164307
Batch 7100: 0.19857347011566162
Batch 7200: 0.2390701025724411
Batch 7300: 0.32030555605888367
Batch 7400: 0.2540043890476227
Batch 7500: 0.26975104212760925
Batch 7600: 0.3161129951477051
Batch 7700: 0.1680309921503067
